"Sample_1","Sample_2","Site_1","Site_2","Pair","Metric","Distance"
"250607_08","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",48.2139028546804
"250607_09","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",46.9547334375371
"250607_10","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.0614967793223
"250607_01","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",40.2168194725365
"250607_02","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",38.4372720286218
"250607_03","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",38.3874998489873
"250607_04","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",36.5323789537888
"250607_05","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",41.6805439328202
"250607_07","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",45.6966539427426
"250607_08","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",39.8421726852691
"250607_09","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",39.6927939206856
"250607_10","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",40.017889852544
"250607_01","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",40.483725485511
"250607_02","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",39.7858388861815
"250607_03","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",42.0134148696717
"250607_04","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",34.7481293684652
"250607_05","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",36.4776396337327
"250607_07","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",51.3438095474367
"250607_08","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",39.9343871829527
"250607_09","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",38.907592733872
"250607_10","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",39.5763762190588
"250607_01","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",42.6222884226893
"250607_02","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",40.3236616142869
"250607_03","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",41.4674034969438
"250607_04","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",35.3980100763981
"250607_05","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",39.2179645795912
"250607_07","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",50.2946215490924
"250607_08","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",41.4591293431964
"250607_09","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",41.2393093206155
"250607_10","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",39.8674978366216
"250607_01","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",42.4755787695797
"250607_02","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",40.2942772041607
"250607_03","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",44.8159632187579
"250607_04","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",39.614730300879
"250607_05","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",40.387099556
