"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220609_01","220707_12","Veragua","Altos de Campana",0.779576034231707,"Veragua vs Altos de Campana"
"220609_02","220707_12","Veragua","Altos de Campana",0.645861881861495,"Veragua vs Altos de Campana"
"220609_03","220707_12","Veragua","Altos de Campana",0.690343808111578,"Veragua vs Altos de Campana"
"220609_04","220707_12","Veragua","Altos de Campana",0.591767154854129,"Veragua vs Altos de Campana"
"220609_07","220707_12","Veragua","Altos de Campana",0.725080209789192,"Veragua vs Altos de Campana"
"220707_11","220707_12","Altos de Campana","Altos de Campana",0.599669481761367,"Altos de Campana vs Altos de Campana"
"220604_01","220707_13","Veragua","Altos de Campana",0.871452653317658,"Veragua vs Altos de Campana"
"220604_02","220707_13","Veragua","Altos de Campana",0.87140224769373,"Veragua vs Altos de Campana"
"220604_03","220707_13","Veragua","Altos de Campana",0.831576376403542,"Veragua vs Altos de Campana"
"220604_04","220707_13","Veragua","Altos de Campana",0.726314055685127,"Veragua vs Altos de Campana"
"220604_05","220707_13","Veragua","Altos de Campana",0.706687286888148,"Veragua vs Altos de Campana"
"220604_06","220707_13","Veragua","Altos de Campana",0.719657980566461,"Veragua vs Altos de Campana"
"220604_07","220707_13","Veragua","Altos de Campana",0.733885308363533,"Veragua vs Altos de Campana"
"220606_02","220707_13","Veragua","Altos de Campana",0.613185452842183,"Veragua vs Altos de Campana"
"220606_04","220707_13","Veragua","Altos de Campana",0.695974192985898,"Veragua vs Altos de Campana"
"220607_01","220707_13","Veragua","Altos de Campana",0.737640517836127,"Veragua vs Altos de Campana"
"220607_02","220707_13","Veragua","Altos de Campana",0.680589696236388,"Veragua vs Altos de Campana"
"220607_03","220707_13","Veragua","Altos de Campana",0.712183544303797,"Veragua vs Altos de Campana"
"220607_04","220707_13","Veragua","Altos de Campana",0.823760655257267,"Veragua vs Altos de Campana"
"220609_01","220707_13","Veragua","Altos de Campana",0.857566942641903,"Veragua vs Altos de Campana"
"220609_02","220707_13","Veragua","Altos de Campana",0.717115372680444,"Veragua vs Altos de Campana"
"220609_03","220707_13","Veragua","Altos de Campana",0.717799946357037,"Veragua vs Altos de Campana"
"220609_04","220707_13","Veragua","Altos de Campana",0.69285935674606,"Veragua vs Altos de Campana"
"220609_07","220707_13","Veragua","Altos de Campana",0.782868772674984,"Veragua vs Altos de Campana"
"220707_11","220707_13","Altos de Campana","Altos de Campana",0.58680492894855,"Altos de Campana vs Altos de Campana"
"220707_12","220707_13","Altos de Campana","Altos de Campana",0.673039320461364,"Altos de Campana vs Altos de Campana"
"220604_01","220707_14","Veragua","Altos de Campana",0.583156006002997,"Veragua vs Altos de Campana"
"220604_02","220707_14","Veragua","Altos de Campana",0.58986866666146,"Veragua vs Altos de Campana"
"220604_03","220707_14","Veragua","Altos de Campana",0.716749294410359,"Veragua vs Altos de Campana"
"220604_04","220707_14","Veragua","Altos de Campana",0.524384853396199,"Veragua vs Altos de Campana"
"220604_05","220707_14","Veragua","Altos de Campana",0.418873250378734,"Veragua vs Altos de Campana"
"220604_06","220707_14","Veragua","Altos de Campana",0.468332838570749,"Veragua vs Altos de Campana"
"220604_07","220707_14","Veragua","Altos de Campana",0.663271733870559,"Veragua vs Altos de Campana"
"220606_02","220707_14","Veragua","Altos de Campana",0.558067597929494,"Veragua vs Altos de Campana"
"220606_04","220707_14","Veragua","Altos de Campana",0.676368813779638,"Veragua vs Altos de Campana"
"220607_01","220707_14","Veragua","Altos de Campana",0.722360523934172,"Veragua vs Altos de Campana"
"220607_02","220707_14","Veragua","Altos de Campana",0.438875635140626,"Veragua vs Altos de Campana"
"220607_03","220707_14","Veragua","Altos de Campana",0.405181535370872,"Veragua vs Altos de Campana"
"220607_04","220707_14","Veragua","Altos de Campana",0.564569864619374,"Veragua vs Altos de Campana"
"220609_01","220707_14","Veragua","Altos de Campana",0.553430118318938,"Veragua vs Altos de Campana"
"220609_02","220707_14","Veragua","Altos de Campana",0.436738140886155,"Veragua vs Altos de Campana"
"220609_03","220707_14","Veragua","Altos de Campana",0.469918429003572,"Veragua vs Altos de Campana"
"220609_04","220707_14","Veragua","Altos de Campana",0.43560813161688,"Veragua vs Altos de Campana"
"220609_07","220707_14","Veragua","Altos de Campana",0.660302502648838,"Veragua vs Altos de Campana"
"220707_11","220707_14","Altos de Campana","Altos de Campana",0.273321856750853,"Altos de Campana vs Altos de Campana"
"220707_12","220707_14","Altos de Campana","Altos de Campana",0.632812371065965,"Altos de Campana vs Altos de Campana"
"220707_13","220707_14","Altos de Campana","Altos de Campana",0.599584100617586,"Altos de Campana vs Altos de Campana"
"220604_01","220707_15","Veragua","Altos de Campana",0.898604033433904,"Veragua vs Altos de Campana"
"220604_02","220707_15","Veragua","Altos de Campana",0.863590780539122,"Veragua vs Altos de Campana"
"220604_03","220707_15","Veragua","Altos de Campana",0.746806623455008,"Veragua vs Altos de Campana"
"220604_04","220707_15","Veragua","Altos de Campana",0.913960837079396,"Veragua vs Altos de Campana"
"220604_05","220707_15","Veragua","Altos de Campana",0.762482282793048,"Veragua vs Altos de Campana"
"220604_06","220707_15","Veragua","Altos de Campana",0.817899612360405,"Veragua vs Altos de Campana"
"220604_07","220707_15","Veragua","Altos de Campana",0.799522495125021,"Veragua vs Altos de Campana"
"220606_02","220707_15","Veragua","Altos de Campana",0.810347594274918,"Veragua vs Altos de Campana"
"220606_04","220707_15","Veragua","Altos de Campana",0.973584905660377,"Veragua vs Altos de Campana"
"220607_01","220707_15","Veragua","Altos de Campana",0.812187235111293,"Veragua vs Altos de Campana"
"220607_02","220707_15","Veragua","Altos de Campana",0.799302921326174,"Veragua vs Altos de Campana"
"220607_03","220707_15","Veragua","Altos de Campana",0.67136971578696,"Veragua vs Altos de Campana"
"220607_04","220707_15","Veragua","Altos de Campana",0.853634625983559,"Veragua vs Altos de Campana"
"220609_01","220707_15","Veragua","Altos de Campana",0.819989613986498,"Veragua vs Altos de Campana"
"220609_02","220707_15","Veragua","Altos de Campana",0.649920783522973,"Veragua vs Altos de Campana"
"220609_03","220707_15","Veragua","Altos de Campana",0.801065099582572,"Veragua vs Altos de Campana"
"220609_04","220707_15","Veragua","Altos de Campana",0.705859569523599,"Veragua vs Altos de Campana"
"220609_07","220707_15","Veragua","Altos de Campana",0.69673179698574,"Veragua vs Altos de Campana"
"220707_11","220707_15","Altos de Campana","Altos de Campana",0.694676818333136,"Altos de Campana vs Altos de Campana"
"220707_12","220707_15","Altos de Campana","Altos de Campana",0.220863111094781,"Altos de Campana vs Altos de Campana"
"220707_13","220707_15","Altos de Campana","Altos de Campana",0.772357723577236,"Altos de Campana vs Altos de Campana"
"220707_14","220707_15","Altos de Campana","Altos de Campana",0.718434747216327,"Altos de Campana vs Altos de Campana"
"220604_01","220707_16","Veragua","Altos de Campana",0.661614894159653,"Veragua vs Altos de Campana"
"220604_02","220707_16","Veragua","Altos de Campana",0.809990827902486,"Veragua vs Altos de Campana"
"220604_03","220707_16","Veragua","Altos de Campana",0.847855354659249,"Veragua vs Altos de Campana"
"220604_04","220707_16","Veragua","Altos de Campana",0.764942193408968,"Veragua vs Altos de Campana"
"220604_05","220707_16","Veragua","Altos de Campana",0.510975299210593,"Veragua vs Altos de Campana"
"220604_06","220707_16","Veragua","Altos de Campana",0.490052821795941,"Veragua vs Altos de Campana"
"220604_07","220707_16","Veragua","Altos de Campana",0.605290390304418,"Veragua vs Altos de Campana"
"220606_02","220707_16","Veragua","Altos de Campana",0.479031550068587,"Veragua vs Altos de Campana"
"220606_04","220707_16","Veragua","Altos de Campana",0.794166219839142,"Veragua vs Altos de Campana"
"220607_01","220707_16","Veragua","Altos de Campana",0.825091514143095,"Veragua vs Altos de Campana"
"220607_02","220707_16","Veragua","Altos de Campana",0.782335944299391,"Veragua vs Altos de Campana"
"220607_03","220707_16","Veragua","Altos de Campana",0.562725738396624,"Veragua vs Altos de Campana"
"220607_04","220707_16","Veragua","Altos de Campana",0.631985083903045,"Veragua vs Altos de Campana"
"220609_01","220707_16","Veragua","Altos de Campana",0.730324159021407,"Veragua vs Altos de Campana"
"220609_02","220707_16","Veragua","Altos de Campana",0.65864631043257,"Veragua vs Altos de Campana"
"220609_03","220707_16","Veragua","Altos de Campana",0.63271609317725,"Veragua vs Altos de Campana"
"220609_04","220707_16","Veragua","Altos de Campana",0.533145650048876,"Veragua vs Altos de Campana"
