"kw.ep","kw.eBH","glm.ep","glm.eBH","taxon"
0.0266660093958695,0.0758962736139969,0.0278595366920985,0.0732713563999857,"Sphingobacterium"
1.29897113232152e-05,0.000818566631124549,1.71967090823524e-06,3.38526213547235e-05,"1174-901-12"
0.0177777825951974,0.0620541672765159,0.0189997601923672,0.064480526336108,"Sphingomonas"
0.33001291690474,0.453589018003081,0.396973606007688,0.527713459266808,"Unclassified_Enterobacteriaceae"
0.000801175215821553,0.00694584603752513,0.0192926897002953,0.0608857576322748,"Jatrophihabitans"
0.000866907771830419,0.00722837217981378,0.00383826349673532,0.0164767523953822,"Unclassified_Caloramatoraceae"
0.0237586711565112,0.0765498270964968,0.0347887290681079,0.0944205783909463,"Byssovorax"
0.0829747811700742,0.192324573443719,0.056963122934663,0.134206807225436,"Aureimonas"
0.317222561150761,0.456090361600465,0.336580949254595,0.468049181966655,"Nakamurella"
0.000713406016970299,0.00636802178556398,0.00132105735570034,0.00474720308279387,"Amnibacterium"
0.000164791045295509,0.00255113946553478,0.000167761781738746,0.00125876799467712,"Lawsonella"
0.000454858558006946,0.00503520188719571,0.0078113644394847,0.0323295483123189,"Bradyrhizobium"
0.326667630711854,0.46616924130698,0.294540958511173,0.434392940723093,"Mycoplasma"
0.00034728506918417,0.00422611345972871,0.000275480002936076,0.00176137303846608,"Halomonas"
0.0155050197750247,0.0538205690830252,0.0178306534139955,0.0555966447104861,"Curtobacterium"
0.229188852525549,0.376469258089481,0.385014238759691,0.534174979439502,"Unclassified_Beijerinckiaceae"
0.00148841781756464,0.0102842553184371,0.0023011348910305,0.0116187462179925,"Mycobacterium"
0.125218920634214,0.232346726491562,0.108144959044048,0.204071793477973,"Lapillicoccus"
0.147264044018204,0.282397636126769,0.129437135426861,0.259785176305713,"Unclassified_Rhizobiaceae"
0.0153026936182927,0.0556566924191396,0.0798989675251124,0.188040280912351,"Unclassified_67-14"
0.00478762850601314,0.0232146118063786,0.0322889730038634,0.0926063531345237,"Haliangium"
0.00256583592721929,0.0137046587215021,0.00127429106555328,0.00646628372230499,"Kocuria"
0.490215385303183,0.606146711324332,0.455220945892872,0.577116714614699,"Nostoc PCC-7107"
0.00103259940700724,0.00774339855546675,0.00208093512922325,0.00931271671448844,"Micrococcus"
0.0177055106029915,0.061292542559583,0.0111207870128635,0.0399690799985532,"LD29"
0.00167067729546604,0.0110421838468396,0.00101825854211013,0.00537400175208658,"Unclassified_Caulobacteraceae"
0.171463184905248,0.310819658574048,0.306219756818039,0.444323587823782,"Nocardioides"
0.000260711689171742,0.00349396043258617,0.000148858457784976,0.00128946663270366,"Clostridium sensu stricto 10"
0.264000139701076,0.412851516834657,0.21809235717603,0.371958117369782,"Terriglobus"
0.000733763340416153,0.00658473053736294,0.00271390758017193,0.0114359397437052,"Conexibacter"
0.00244625844833475,0.0141614741154379,0.00216758724089345,0.0114181774282624,"Loriellopsis LF-B5"
0.527679936306206,0.648501660749778,0.431896938016237,0.570285433248227,"Streptomyces"
0.00280503414289761,0.0156359216820829,0.00388142693981421,0.0177443959216475,"Parafilimonas"
0.0254976706080173,0.0801973448112997,0.0355044337429554,0.0938794549568678,"Aridibacter"
0.1071586844772,0.226031660780643,0.265885487412548,0.399015431305682,"Devosia"
0.00113741370756579,0.00848024339456087,0.00167800213511926,0.00791436251453055,"Bacillus"
0.105240229975148,0.211163681850257,0.150008911553477,0.261043993096235,"Quadrisphaera"
2.93807254100825e-05,0.00110557598099116,1.80906683966915e-05,0.000256220195740924,"Brachybacterium"
0.00260584282810627,0.0149153494761648,0.00749169883961213,0.0306507005000732,"Actinoplanes"
0.103939096601139,0.214473819877448,0.129055559512216,0.238398188737775,"Flavobacterium"
0.758370157472227,0.821260103291375,0.702135984273534,0.785818395265783,"Rothia"
0.000465257949443872,0.00497863371150285,0.000727421037495775,0.00390755205384774,"Tumebacillus"
0.00299023945697065,0.0149077037050773,0.000697022153121804,0.00440963047584078,"Rubrobacter"
0.389150429017045,0.509669115420088,0.27057022212066,0.397097041877418,"Haemophilus"
0.000202163870523706,0.00293457692101966,0.000124016025356367,0.00108032504120599,"Brevibacterium"
0.0970387575514031,0.21170234778284,0.23722755844846,0.381152087161373,"Psychroglaciecola"
0.190293984943858,0.3285227321992,0.205541344316481,0.339521942837346,"Unclassified_Kineosporiaceae"
0.000922829853314428,0.00765475130043279,0.00261381351299185,0.0136431294469139,"Candidatus Udaeobacter"
0.124530313876747,0.229314697539515,0.0766074119633719,0.154001503821549,"Candidatus Megaira"
0.773143246630224,0.832758509159346,0.691098243888373,0.773283270373554,"Actinomyces"
0.474229866213454,0.602956610167905,0.584794750895459,0.6956354613842,"Blastocatella"
0.573421253709311,0.674241503762336,0.412202000403213,0.542827952857465,"Niabella"
0.361837958162261,0.491362809550297,0.359309690250892,0.486946174265135,"Neorhizobium"
0.760910637196487,0.828815924070811,0.874369526483363,0.911786060341879,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
0.0308806257908844,0.0884562464450595,0.0408294639609937,0.10250889254318,"Tianweitania"
0.517574827818969,0.63300482944275,0.519485102218203,0.635882699616575,"Hephaestia"
0.435698545902319,0.555813777102416,0.41658294901267,0.541516041670978,"Kineococcus"
0.393040696306059,0.521904313985585,0.412495140505744,0.541462425809708,"Qipengyuania"
0.000439294963998041,0.00467423935434838,0.000211595638504701,0.00174757323609161,"IheB3-7"
0.249811058800269,0.374110198716834,0.162734201146448,0.269892843518969,"Gemella"
0.127428721605347,0.256631933765364,0.484994188459429,0.624802980971974,"Unclassified_Sphingomonadaceae"
0.269112596354314,0.417780801884001,0.299010717834055,0.451208012429001,"Mucilaginibacter"
0.287365327142069,0.432317657449177,0.544851074650245,0.65791895918069,"Unclassified_Microbacteriaceae"
0.0687605198289196,0.160493269078864,0.116038946938385,0.224874792041003,"FFCH7168"
3.50708139733096e-05,0.00109646316630659,7.09247962278045e-06,0.000100868233724529,"Enhydrobacter"
0.00420831751763628,0.0211258277348266,0.0078572212366659,0.0321841082549998,"Sphingobium"
0.360573176607477,0.492054140435535,0.420331778507722,0.547634089850969,"Luteibacter"
0.176766371306973,0.283245403073508,0.190931133491271,0.298046599007693,"Klenkia"
0.00193410274748438,0.0120398595505678,0.00270400211910325,0.0141005111301786,"Edaphobacter"
0.253032852884986,0.401620510150521,0.168794184093967,0.30787272788799,"Sphingoaurantiacus"
