"Genus","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"FFCH7168",0,0,9,0,0,0,145,48,0,5,0,37,16,0,1484,17,131,973,19,39,18,9,15,19,74,100,56,11,3,4,0,0,0,0,42,53,23,5,0,4,173,0,0,0,0,0,0
"Enhydrobacter",49,0,13,23,40,91,98,0,9,0,6,0,69,286,0,75,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,132,72,435,7,35,63,81,44,3
"Sphingobium",0,0,40,99,390,0,257,0,0,0,0,17,46,0,66,199,23,23,0,27,34,11,0,50,26,33,0,30,22,79,54,163,0,0,115,54,22,69,919,61,19,4,10,209,170,27,159
"Luteibacter",0,0,93,0,174,0,120,0,0,12,0,0,0,0,92,0,8,0,35,184,18,17,33,50,0,10,0,0,158,0,227,0,10,0,143,43,403,0,0,353,0,0,0,0,0,0,0
"Klenkia",48,0,47,0,0,0,109,0,0,0,0,0,0,0,286,9,6,678,0,0,233,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,39,16,0,0,0,0,0,0,0,0,0
"Edaphobacter",27,0,0,0,0,61,236,0,0,228,0,124,0,0,0,0,63,0,21,157,44,35,45,316,124,1093,114,89,27,35,0,16,0,0,24,0,19,0,0,0,24,0,0,0,0,0,0
"Sphingoaurantiacus",13,0,6,43,0,0,1908,85,0,72,0,93,44,0,0,102,68,30,71,301,48,23,6,105,128,359,73,39,10,24,12,17,0,15,81,129,38,0,27,0,24,0,0,120,0,27,0
"Methylopila",0,0,20,0,108,0,75,0,0,0,0,16,36,0,46,23,0,175,0,0,22,47,27,0,0,78,15,72,98,0,35,0,0,24,79,61,84,49,16,0,12,0,0,166,0,0,0
"Unclassified_Chitinophagaceae",12,0,24,60,0,147,1204,78,25,142,0,609,312,0,19,145,122,108,153,398,76,76,4,362,394,407,33,337,305,25,7,16,0,60,141,407,290,62,67,6,612,0,0,1204,58,22,3
"Peptoniphilus",17,0,0,0,0,0,655,0,0,0,0,0,49,0,10,0,0,503,0,0,0,0,0,0,0,0,0,0,0,67,5,51,0,0,21,2,0,0,82,0,0,0,6,0,27,24,0
