"Genus_full","Sample_ID","Row_scaled_rCLR","Genus"
"Actinomycetospora","220604_03",-1.69688880315426,"Actinomycetospora"
"1174-901-12","220604_03",-1.57102890960314,"1174-901-12"
"Marmoricola","220604_03",-0.425394547663324,"Marmoricola"
"Unclassified_Caulobacteraceae","220604_03",-0.140391936511965,"Uncl. Caulobacteraceae"
"Mycobacterium","220604_03",0.191251479559684,"Mycobacterium"
"Unclassified_Acetobacteraceae","220604_03",-0.77275977341016,"Uncl. Acetobacteraceae"
"Jatrophihabitans","220604_03",-0.479381402741604,"Jatrophihabitans"
"Methylocella","220604_03",-0.479044983703454,"Methylocella"
"Conexibacter","220604_03",-0.252024491941001,"Conexibacter"
"Actinoplanes","220604_03",-0.0468571410527795,"Actinoplanes"
"Pseudonocardia","220604_03",-0.692378868180118,"Pseudonocardia"
"Unclassified_67-14","220604_03",-1.0574189301076,"Uncl. 67-14"
"Corynebacterium","220604_03",-2.24805742686164,"Corynebacterium"
"Caldalkalibacillus","220604_03",-1.59359136471288,"Caldalkalibacillus"
"Nesterenkonia","220604_03",-1.54629730959588,"Nesterenkonia"
"Unclassified_Bacillaceae","220604_03",-1.82787832748582,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","220604_03",-1.71774362096199,"Uncl. Caloramatoraceae"
"Anoxybacillus","220604_03",-1.50804984744247,"Anoxybacillus"
"Clostridium sensu stricto 12","220604_03",-1.6559867686526,"Clostridium sensu stricto 12"
"Halomonas","220604_03",-1.58932864734296,"Halomonas"
"Staphylococcus","220604_03",-0.449791841250405,"Staphylococcus"
"Mycoplasma","220604_03",-0.433627447205239,"Mycoplasma"
"Tumebacillus","220604_03",-1.68240791453746,"Tumebacillus"
"Bacillus","220604_03",-1.93547016677387,"Bacillus"
"Paracoccus","220604_03",0.130746234304895,"Paracoccus"
"Acinetobacter","220604_03",0.390566804083643,"Acinetobacter"
"Chryseobacterium","220604_03",2.18129848456839,"Chryseobacterium"
"Pseudomonas","220604_03",1.99712784720685,"Pseudomonas"
"Unclassified_Bacteria","220609_07",1.2016545862767,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","220609_07",1.88751484027181,"Methylobacterium-Methylorubrum"
"Actinomycetospora","220609_07",1.95539877114283,"Actinomycetospora"
"1174-901-12","220609_07",1.96714550608687,"1174-901-12"
"Marmoricola","220609_07",0.980796456985343,"Marmoricola"
"Unclassified_Caulobacteraceae","220609_07",0.980632159796744,"Uncl. Caulobacteraceae"
"Mycobacterium","220609_07",0.754886141960532,"Mycobacterium"
"Unclassified_Acetobacteraceae","220609_07",1.38984228006781,"Uncl. Acetobacteraceae"
"Jatrophihabitans","220609_07",1.20306545344947,"Jatrophihabitans"
"Methylocella","220609_07",1.18283060315522,"Methylocella"
"Conexibacter","220609_07",0.981107392756428,"Conexibacter"
"Actinoplanes","220609_07",0.757892975041798,"Actinoplanes"
"Pseudonocardia","220609_07",1.32035449110555,"Pseudonocardia"
"Unclassified_67-14","220609_07",1.44446724325134,"Uncl. 67-14"
"Corynebacterium","220609_07",1.93890929625965,"Corynebacterium"
"Caldalkalibacillus","220609_07",1.29473492425534,"Caldalkalibacillus"
"Nesterenkonia","220609_07",1.17865100291799,"Nesterenkonia"
"Unclassified_Bacillaceae","220609_07",1.15461434829844,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","220609_07",0.935108376723013,"Uncl. Caloramatoraceae"
"Anoxybacillus","220609_07",1.08820016105378,"Anoxybacillus"
"Clostridium sensu stricto 12","220609_07",1.00647635515406,"Clostridium sensu stricto 12"
