"Genus","Sample_ID","Row_scaled_rCLR","Genus_full"
"Pseudomonas","220609_04",0.0659285697984653,"Pseudomonas"
"Stenotrophomonas","220609_04",0.177417839075391,"Stenotrophomonas"
"Bosea","220609_04",-0.371702100719915,"Bosea"
"Curtobacterium","220609_04",-0.0243410672392148,"Curtobacterium"
"Chryseobacterium","220609_04",-0.0520590186481674,"Chryseobacterium"
"Novosphingobium","220609_04",0.478166142692267,"Novosphingobium"
"Brevundimonas","220609_04",0.589927573704096,"Brevundimonas"
"Uncl. Bacillaceae","220609_04",-0.443857953498427,"Unclassified_Bacillaceae"
"Burkholderia complex","220609_04",-0.482331052164292,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220609_04",0.0076284838230699,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220609_01",-0.241493326932932,"Acinetobacter"
"Staphylococcus","220609_01",-0.521466427197513,"Staphylococcus"
"Micrococcus","220609_01",-0.70929405101601,"Micrococcus"
"Pseudomonas","220609_01",-0.162605390032254,"Pseudomonas"
"Stenotrophomonas","220609_01",0.0349016536583017,"Stenotrophomonas"
"Bosea","220609_01",0.740590125892481,"Bosea"
"Curtobacterium","220609_01",0.715525718403911,"Curtobacterium"
"Chryseobacterium","220609_01",0.812155209347206,"Chryseobacterium"
"Novosphingobium","220609_01",-0.205653426578742,"Novosphingobium"
"Brevundimonas","220609_01",-0.0677528656088938,"Brevundimonas"
"Uncl. Bacillaceae","220609_01",-0.359947834736625,"Unclassified_Bacillaceae"
"Burkholderia complex","220609_01",0.395950812145725,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220609_01",0.810546142558607,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220607_03",-0.107951594696599,"Acinetobacter"
"Staphylococcus","220607_03",0.0384165272834921,"Staphylococcus"
"Micrococcus","220607_03",-0.317117278350861,"Micrococcus"
"Pseudomonas","220607_03",-0.349446232164188,"Pseudomonas"
"Stenotrophomonas","220607_03",-0.349723652789352,"Stenotrophomonas"
"Bosea","220607_03",0.526168624132293,"Bosea"
"Curtobacterium","220607_03",0.0545794456994844,"Curtobacterium"
"Chryseobacterium","220607_03",0.162235247702844,"Chryseobacterium"
"Novosphingobium","220607_03",-0.502514116661319,"Novosphingobium"
"Brevundimonas","220607_03",-0.439752439963185,"Brevundimonas"
"Uncl. Bacillaceae","220607_03",0.198822072963822,"Unclassified_Bacillaceae"
"Burkholderia complex","220607_03",0.546245827046316,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220607_03",0.197006525806911,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220604_04",0.45014832764095,"Acinetobacter"
"Staphylococcus","220604_04",0.275005655395982,"Staphylococcus"
"Micrococcus","220604_04",-0.881025746830338,"Micrococcus"
"Pseudomonas","220604_04",0.0694075149618443,"Pseudomonas"
"Stenotrophomonas","220604_04",-0.0158587010707056,"Stenotrophomonas"
"Bosea","220604_04",0.565331482831565,"Bosea"
"Curtobacterium","220604_04",0.336827686556346,"Curtobacterium"
"Chryseobacterium","220604_04",0.34923238907473,"Chryseobacterium"
"Novosphingobium","220604_04",-0.500788875281663,"Novosphingobium"
"Brevundimonas","220604_04",-0.659964127788302,"Brevundimonas"
"Uncl. Bacillaceae","220604_04",0.398001363311117,"Unclassified_Bacillaceae"
"Burkholderia complex","220604_04",0.565637591747494,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220604_04",0.227861172181986,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220607_02",0.329349055474833,"Acinetobacter"
"Staphylococcus","220607_02",0.289249856935128,"Staphylococcus"
"Micrococcus","220607_02",-0.9356634724756,"Micrococcus"
"Pseudomonas","220607_02",-0.163680125662235,"Pseudomonas"
"Stenotrophomonas","220607_02",-0.247447530548285,"Stenotrophomonas"
"Bosea","220607_02",0.800087706488712,"Bosea"
"Curtobacterium","220607_02",0.291144895138071,"Curtobacterium"
"Chryseobacterium","220607_02",0.368413515272015,"Chryseobacterium"
"Novosphingobium","220607_02",-0.755557216325314,"Novosphingobium"
"Brevundimonas","220607_02",-0.858346720968351,"Brevundimonas"
"Uncl. Bacillaceae","220607_02",0.493768745673643,"Unclassified_Bacillaceae"
"Burkholderia complex","220607_02",0.831007198318367,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220607_02",0.286726984257379,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220707_17",0.434741193458447,"Acinetobacter"
"Staphylococcus","220707_17",-0.921838472011317,"Staphylococcus"
"Micrococcus","220707_17",-0.947364291893723,"Micrococcus"
"Pseudomonas","220707_17",1.23592621552158,"Pseudomonas"
"Stenotrophomonas","220707_17",1.54334010426608,"Stenotrophomonas"
"Bosea","220707_17",-0.199896095826202,"Bosea"
"Curtobacterium","220707_17",1.52884529904285,"Curtobacterium"
"Chryseobacterium","220707_17",1.27463631476745,"Chryseobacterium"
"Novosphingobium","220707_17",1.22686454323406,"Novosphingobium"
"Brevundimonas","220707_17",1.07267116268403,"Brevundimonas"
"Uncl. Bacillaceae","220707_17",-1.16023752699155,"Unclassified_Bacillaceae"
"Burkholderia complex","220707_17",-0.969709586923736,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220707_17",1.00074963839625,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220707_13",-1.51900304111233,"Acinetobacter"
"Staphylococcus","220707_13",-1.89365356571072,"Staphylococcus"
"Micrococcus","220707_13",0.867918408445064,"Micrococcus"
"Pseudomonas","220707_13",-0.152060746672392,"Pseudomonas"
"Stenotrophomonas","220707_13",0.50371281874836,"Stenotrophomonas"
"Bosea","220707_13",-0.263806837658572,"Bosea"
"Curtobacterium","220707_13",0.752393319171056,"Curtobacterium"
"Chryseobacterium","220707_13",0.823348436465439,"Chryseobacterium"
"Novosphingobium","220707_13",1.29824147538588,"Novosphingobium"
"Brevundimonas","220707_13",1.92765512334247,"Brevundimonas"
"Uncl. Bacillaceae","220707_13",-2.00084539175651,"Unclassified_Bacillaceae"
"Burkholderia complex","220707_13",-1.07055714682717,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220707_13",1.07490497169272,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220707_15",-1.80629736787982,"Acinetobacter"
"Staphylococcus","220707_15",-1.80750066932513,"Staphylococcus"
"Micrococcus","220707_15",0.725104326944788,"Micrococcus"
"Pseudomonas","220707_15",-0.765203815011542,"Pseudomonas"
