"Genus","Prevalence","Prevalence_samples","Mean_relative_abundance","Retained"
"Plantactinospora",0.106382978723404,5,0.000127244641041008,FALSE
"Vicinamibacter",0.170212765957447,8,0.000117560330137112,FALSE
"Macrococcus",0.170212765957447,8,0.000156449696633918,FALSE
"Unclassified_Obscuribacteraceae",0.340425531914894,16,0.000153531645328359,TRUE
"Unclassified_Peptococcaceae",0.0851063829787234,4,0.00010354037890617,FALSE
"Aneurinibacillus",0.127659574468085,6,3.52715655334592e-05,FALSE
"Chitinophaga",0.319148936170213,15,0.00018770061172806,TRUE
"Rhodoplanes",0.425531914893617,20,0.000485497982364606,TRUE
"Fibrella",0.191489361702128,9,0.000118651624153037,FALSE
"Cronobacter",0.0212765957446809,1,0.00029060542201969,FALSE
"Agromyces",0.170212765957447,8,0.000101465280941671,FALSE
"Unclassified_Gemmatimonadaceae",0.382978723404255,18,0.000193405516872198,TRUE
"Unclassified_Microcystaceae",0.0425531914893617,2,7.69490756893913e-05,FALSE
"Flavitalea",0.361702127659574,17,0.000332747614389803,TRUE
