"Genus","Mean_relative_abundance_percent","Prevalence","Prevalence_samples","Inhibitory_ASVs","Max_identity","Max_query_coverage","Whole_ANCOMBC2_global_q","Whole_ANCOMBC2_robust_global","Whole_ALDEx2_global_q","Anti_only_ANCOMBC2_global_q","Anti_only_ANCOMBC2_robust_global","Anti_only_ALDEx2_global_q","Woodhams_function","Passes_20pct_anti_prevalence","Site_association_supported","Priority_rank"
"Agromyces",0.000986027983474171,0.0212765957446809,1,1,97.628,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,97
"Solibacillus",0.000981324037172058,0.0212765957446809,1,1,98.814,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,98
"Frateuria",0.000878296339314088,0.0212765957446809,1,1,98.419,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,99
"Paucibacter",0.000868694552265385,0.0212765957446809,1,1,99.209,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,100
"Ideonella",0.000705764047990008,0.0212765957446809,1,1,98.814,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,101
"Janthinobacterium",0.000681427356680008,0.0212765957446809,1,1,99.605,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,102
"Incertae Sedis",0.00056065947354938,0.0212765957446809,1,1,97.233,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,103
"Andreprevotia",0.000484569481802758,0.0425531914893617,2,1,97.244,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,104
"Delftia",0.000449933297388662,0.0212765957446809,1,1,98.814,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,105
"Cnuibacter",0.000422341990681645,0.0212765957446809,1,1,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,106
"Viridibacillus",0.000382095319026666,0.0212765957446809,1,1,98.814,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,107
"Tahibacter",0.000337606821867592,0.0212765957446809,1,1,97.233,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,108
"Unclassified_Cellulomonadaceae",0.000328735690751761,0.0212765957446809,1,1,97.233,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,109
"Unclassified_Weeksellaceae",0.000276223763346212,0.0212765957446809,1,1,97.628,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,110
"Amantichitinum",0.000215638259057454,0.0212765957446809,1,1,99.209,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,111
