"Genus","Community","KSM","Prevalence","Detected_samples","Mean_relative_abundance_percent","Is_anti_Bd","Bootstrap_median","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Top20_frequency","Bootstrap_iterations","KSM_rank","ANCOMBC2_robust_FDR05","ANCOMBC2_q","ALDEx2_q","ALDEx2_FDR05","Method_agreement","Cross_method_support"
"SH-PL14","Whole community",0.340583136327817,0.404255319148936,19,0.0155872098897479,FALSE,0.403467297084318,0.251883372734437,0.567862490149724,0,0,1000,188,FALSE,NA,0.508176935834259,FALSE,"Neither","KSM only"
"Devriesea","Whole community",0.340031520882585,0.276595744680851,13,0.873540400331611,FALSE,0.378723404255319,0.22840622537431,0.546818360914106,0,0,1000,189,FALSE,NA,0.294588868945492,FALSE,"Neither","KSM only"
"Variibacter","Whole community",0.338534278959811,0.234042553191489,11,0.0147594203807262,FALSE,0.363553979511426,0.222312844759653,0.526120961386919,0,0,1000,190,FALSE,NA,0.169982281707779,FALSE,"Neither","KSM only"
"Chryseobacterium","Whole community",0.33806146572104,0.595744680851064,28,0.535489048651215,TRUE,0.444917257683215,0.321654846335697,0.560070921985816,0,0,1000,191,TRUE,3.66266734585033e-06,0.202690313800459,FALSE,"ANCOM-BC2 only","ANCOM-BC2 only"
"Flavitalea","Whole community",0.337746256895193,0.361702127659574,17,0.0332747614389803,FALSE,0.391371158392435,0.24602048857368,0.55575256107171,0,0,1000,192,FALSE,NA,0.335305948975455,FALSE,"Neither","KSM only"
"Gemmatimonas","Whole community",0.337115839243499,0.382978723404255,18,0.0166935144738908,FALSE,0.410677698975571,0.274529156816391,0.555017730496454,0,0,1000,193,FALSE,NA,0.356215961198608,FALSE,"Neither","KSM only"
"Streptomyces","Whole community",0.336643026004728,0.531914893617021,25,0.243218502447044,TRUE,0.412450748620961,0.278644602048857,0.553126477541371,0,0,1000,194,FALSE,0.0120830316716973,0.648501660749778,FALSE,"Neither","KSM only"
"Flavobacterium","Whole community",0.336564223798266,0.659574468085106,31,0.265134516297931,TRUE,0.435894405043341,0.295921985815603,0.587791568163909,0,0.001,1000,195,TRUE,0.000522218848521378,0.214473819877448,FALSE,"ANCOM-BC2 only","ANCOM-BC2 only"
"Unclassified_Roseiflexaceae","Whole community",0.335460992907801,0.595744680851064,28,0.0517558489359674,FALSE,0.423640661938534,0.303853427895981,0.564998029944838,0,0,1000,196,FALSE,0.00011110355797121,0.676835352841977,FALSE,"Neither","KSM only"
"Nakamurella","Whole community",0.335303388494878,0.51063829787234,24,0.132180275593495,FALSE,0.42301024428684,0.275084712371946,0.564267139479905,0,0,1000,197,FALSE,NA,0.456090361600465,FALSE,"Neither","KSM only"
"Pirellula","Whole community",0.33451536643026,0.382978723404255,18,0.0180513282667786,FALSE,0.386249014972419,0.249473995271868,0.533337273443656,0,0,1000,198,FALSE,NA,0.614782457414763,FALSE,"Neither","KSM only"
"Roseomonas","Whole community",0.334121355397951,0.617021276595745,29,0.066849069550394,FALSE,0.423561859732072,0.30258865248227,0.561241134751773,0,0,1000,199,FALSE,0.00203653833704115,0.420778465651784,FALSE,"Neither","KSM only"
"Legionella","Whole community",0.334042553191489,0.51063829787234,24,0.0625930954010988,FALSE,0.397281323877069,0.278534278959811,0.54524231678487,0,0,1000,200,FALSE,0.189207775035087,0.82467223944586,FALSE,"Neither","KSM only"
"Thermobrachium","Whole community",0.333254531126872,0.25531914893617,12,0.0214097386212876,FALSE,0.349408983451537,0.20488573680063,0.493695823483058,0,0,1000,201,FALSE,NA,0.080578115754898,FALSE,"Neither","KSM only"
"Ellin6055","Whole community",0.330260047281324,0.617021276595745,29,0.111240013881208,FALSE,0.424074074074074,0.278575650118203,0.582352245862884,0,0,1000,202,FALSE,0.571370751283338,0.80408313629552,FALSE,"Neither","KSM only"
"Unclassified_Micavibrionaceae","Whole community",0.32962962962963,0.276595744680851,13,0.00862180239083061,FALSE,0.369424743892829,0.22395390070922,0.512011426319937,0,0,1000,203,FALSE,NA,0.661160017730268,FALSE,"Neither","KSM only"
"Burkholderia-Caballeronia-Paraburkholderia","Whole community",0.329078014184397,0.723404255319149,34,0.178812597109823,TRUE,0.427265563435776,0.304868006304177,0.570693459416864,0,0,1000,204,FALSE,0.0290587338433046,0.406300750345932,FALSE,"Neither","KSM only"
"Kineococcus","Whole community",0.328368794326241,0.361702127659574,17,0.0496562799000832,FALSE,0.378723404255319,0.256654846335697,0.512630023640662,0,0,1000,205,FALSE,NA,0.555813777102416,FALSE,"Neither","KSM only"
"Unclassified_Solimonadaceae","Whole community",0.3274231678487,0.702127659574468,33,0.0636737433149,FALSE,0.420843183609141,0.299369582348306,0.568975571315997,0,0,1000,206,FALSE,0.478904670158361,0.336748528791782,FALSE,"Neither","KSM only"
